======================================================================
TIPO            | LEXEMA               | LINEA    | COLUMNA 
IDENTIFIER      | match                | L:82  | C:36 
SEPARATOR       | ,                    | L:82  | C:41 
IDENTIFIER      | m                    | L:82  | C:43 
OPERATOR        | .                    | L:82  | C:44 
IDENTIFIER      | start                | L:82  | C:45 
SEPARATOR       | (                    | L:82  | C:50 
SEPARATOR       | )                    | L:82  | C:51 
SEPARATOR       | )                    | L:82  | C:52 
SEPARATOR       | ;                    | L:82  | C:53 
LINECOMMENT     | // Solo actualizamos lineas/columnas | L:82  | C:55 
SEPARATOR       | }                    | L:83  | C:13 
KEYWORD         | else                 | L:83  | C:15 
SEPARATOR       | {                    | L:83  | C:20 
IDENTIFIER      | TokenType            | L:84  | C:17 
IDENTIFIER      | type                 | L:84  | C:27 
OPERATOR        | =                    | L:84  | C:32 
IDENTIFIER      | determineType        | L:84  | C:34 
SEPARATOR       | (                    | L:84  | C:47 
IDENTIFIER      | m                    | L:84  | C:48 
SEPARATOR       | )                    | L:84  | C:49 
SEPARATOR       | ;                    | L:84  | C:50 
KEYWORD         | if                   | L:85  | C:17 
SEPARATOR       | (                    | L:85  | C:20 
IDENTIFIER      | type                 | L:85  | C:21 
OPERATOR        | !=                   | L:85  | C:26 
KEYWORD         | null                 | L:85  | C:29 
SEPARATOR       | )                    | L:85  | C:33 
SEPARATOR       | {                    | L:85  | C:35 
IDENTIFIER      | tokens               | L:86  | C:21 
OPERATOR        | .                    | L:86  | C:27 
IDENTIFIER      | add                  | L:86  | C:28 
SEPARATOR       | (                    | L:86  | C:31 
KEYWORD         | new                  | L:86  | C:32 
IDENTIFIER      | Token                | L:86  | C:36 
SEPARATOR       | (                    | L:86  | C:41 
IDENTIFIER      | type                 | L:86  | C:42 
SEPARATOR       | ,                    | L:86  | C:46 
IDENTIFIER      | match                | L:86  | C:48 
SEPARATOR       | ,                    | L:86  | C:53 
IDENTIFIER      | currentLine          | L:86  | C:55 
SEPARATOR       | ,                    | L:86  | C:66 
IDENTIFIER      | col                  | L:86  | C:68 
SEPARATOR       | )                    | L:86  | C:71 
SEPARATOR       | )                    | L:86  | C:72 
SEPARATOR       | ;                    | L:86  | C:73 
SEPARATOR       | }                    | L:87  | C:17 
SEPARATOR       | }                    | L:88  | C:13 
LINECOMMENT     | // Actualizar lineas y columnas basado en el match actual (por si hay comentarios multilínea) | L:90  | C:13 
KEYWORD         | for                  | L:91  | C:13 
SEPARATOR       | (                    | L:91  | C:17 
KEYWORD         | int                  | L:91  | C:18 
IDENTIFIER      | i                    | L:91  | C:22 
OPERATOR        | =                    | L:91  | C:24 
INTEGERLIT      | 0                    | L:91  | C:26 
SEPARATOR       | ;                    | L:91  | C:27 
IDENTIFIER      | i                    | L:91  | C:29 
OPERATOR        | <                    | L:91  | C:31 
IDENTIFIER      | match                | L:91  | C:33 
OPERATOR        | .                    | L:91  | C:38 
IDENTIFIER      | length               | L:91  | C:39 
SEPARATOR       | (                    | L:91  | C:45 
SEPARATOR       | )                    | L:91  | C:46 
SEPARATOR       | ;                    | L:91  | C:47 
IDENTIFIER      | i                    | L:91  | C:49 
OPERATOR        | ++                   | L:91  | C:50 
SEPARATOR       | )                    | L:91  | C:52 
SEPARATOR       | {                    | L:91  | C:54 
KEYWORD         | if                   | L:92  | C:17 
SEPARATOR       | (                    | L:92  | C:20 
IDENTIFIER      | match                | L:92  | C:21 
OPERATOR        | .                    | L:92  | C:26 
IDENTIFIER      | charAt               | L:92  | C:27 
SEPARATOR       | (                    | L:92  | C:33 
IDENTIFIER      | i                    | L:92  | C:34 
SEPARATOR       | )                    | L:92  | C:35 
OPERATOR        | ==                   | L:92  | C:37 
CHARLIT         | '\n'                 | L:92  | C:40 
SEPARATOR       | )                    | L:92  | C:44 
SEPARATOR       | {                    | L:92  | C:46 
IDENTIFIER      | currentLine          | L:93  | C:21 
OPERATOR        | ++                   | L:93  | C:32 
SEPARATOR       | ;                    | L:93  | C:34 
IDENTIFIER      | lastNewLinePos       | L:94  | C:21 
OPERATOR        | =                    | L:94  | C:36 
IDENTIFIER      | m                    | L:94  | C:38 
OPERATOR        | .                    | L:94  | C:39 
IDENTIFIER      | start                | L:94  | C:40 
SEPARATOR       | (                    | L:94  | C:45 
SEPARATOR       | )                    | L:94  | C:46 
OPERATOR        | +                    | L:94  | C:48 
IDENTIFIER      | i                    | L:94  | C:50 
SEPARATOR       | ;                    | L:94  | C:51 
SEPARATOR       | }                    | L:95  | C:17 
SEPARATOR       | }                    | L:96  | C:13 
IDENTIFIER      | pos                  | L:97  | C:13 
OPERATOR        | =                    | L:97  | C:17 
IDENTIFIER      | m                    | L:97  | C:19 
OPERATOR        | .                    | L:97  | C:20 
IDENTIFIER      | end                  | L:97  | C:21 
SEPARATOR       | (                    | L:97  | C:24 
SEPARATOR       | )                    | L:97  | C:25 
SEPARATOR       | ;                    | L:97  | C:26 
SEPARATOR       | }                    | L:98  | C:9  
LINECOMMENT     | // Error al final del archivo (si sobran caracteres que no coinciden con nada) | L:100 | C:9  
KEYWORD         | if                   | L:101 | C:9  
SEPARATOR       | (                    | L:101 | C:12 
IDENTIFIER      | pos                  | L:101 | C:13 
OPERATOR        | <                    | L:101 | C:17 
IDENTIFIER      | source               | L:101 | C:19 
OPERATOR        | .                    | L:101 | C:25 
IDENTIFIER      | length               | L:101 | C:26 
SEPARATOR       | (                    | L:101 | C:32 
SEPARATOR       | )                    | L:101 | C:33 
SEPARATOR       | )                    | L:101 | C:34 
SEPARATOR       | {                    | L:101 | C:36 
IDENTIFIER      | String               | L:102 | C:13 
